0,Pandemic effect: Hola Mohalla donations at Anandpur Sahib gurdwaras dip this year again
0,Public banks prop up Jan Dhan as pvt lenders falter
1,IPL 2021: Can KKR find the right team balance to end title drought
1,IPL 2021: Chennai Super Kings - Team profile and full squad
1,IPL 2021: Kolkata Knight Riders - Team profile and full squad
1,IPL 2021: Royal Challengers Bangalore - Team profile and full squad
1,Madrid seeks respect entering 1st leg against Liverpool
2,Iranian ship said to be Revolutionary Guard base in Red Sea off Yemen attacked
2,South Korean PM to visit Iran to discuss frozen billions
3,"No significant symptoms in 80% of Covid cases, says ACS"
3,Novovax allows volunteers on placebo to get Covid-19 vaccine in trials
4,8 COVID-19 victims cremated on one pyre in Beed
4,Stigma blamed as COVID-19 patients keep off voting
5,China reports biggest daily Covid-19 case jump in over 2 months
5,"Happiest Minds Technologies' share zoom 14%, trade high for 5th day"
5,Tesla shares surge after company posts record deliveries
6,"Tarun Bajaj made new revenue secretary, Ajay Seth economic affairs secretary"
6,"With BJP support, RPI(A)’s Wadekar elected to dy mayor post"
7,Pakistanis rush to buy Sputnik V Covid-19 vaccine as commercial sales begin
7,Punjab CM orders Covid-19 testing to be increased to 2 lakh per day
7,Tepid response to vaccine sparks worry
7,‘Outstretched’ SII chief seeks
8,"Katrina Kaif tests positive for Covid-19, under home quarantine"
8,Milind Soman shares romantic pic with Ankita Konwar after beating Covid-19
8,"Renuka Shahane, Ashutosh Rana and Shefali Shah receive Covid-19 vaccine"
8,Seema Pahwa under home quarantine after testing positive for coronavirus
9,Hymns through masks: Christians mark another pandemic Easter
9,White House press briefing gets surprise visit from Easter Bunny
10,Mandela movie review: The only film you need to watch before the next election
10,Vast archives at JFK Library help bring Ernest Hemingway to life
11,Another patient flees MGMMCH Covid ward
11,Bihar CID sub-inspector found dead in hotel room in suspicious circumstances
11,"Chhattisgarh encounter | Jawan missing, may be in captivity of Maoists: CRPF DG"
11,"Days after ambush, Maoists say missing jawan in their custody"
11,"Maoist attack: Search on for missing jawan, cops do not rule out abduction"
11,Protests in Jammu seeking release of CRPF commando in Maoists captivity
12,Jayati wonders if her mom's vaccination was cancelled due to vaccine shortage
12,Rupali Ganguly: Aisa birthday yaadgar rahega
13,No easing up for Lanning's record-breaking Australians
13,"Shikha Pandey breaks into top 10 bowlers; Mandhana, Mithali retain spots"
14,"'I used to bowl a lot,' KKR's Shubman Gill reveals why he stopped bowling"
14,'Thought I deserved a hundred': Gill recalls Gabba 91 against Australia
14,ICC rankings: Fakhar Zaman gains big after 193-run knock against South Africa
14,"SA vs PAK, 3rd ODI: Pakistan wins series in South Africa with another Fakhar 100"
14,"South Africa vs Pakistan, 3rd ODI Highlights"
15,"ASRB Combined Exam 2021 for NET, ARS, STO: Registration underway, check details"
15,"NTPC Recruitment 2021: Apply for 35 Executive & Specialist posts, details here"
15,"TS ICET 2021 registration begins today at icet.tsche.ac.in, check schedule here"
16,"Pune artistes change professions to cope with, and survive lockdown uncertainties"
16,"Rakhi refuses to pose with maskless man, reveals her plans to learn belly dance"
17,Bihar: Monthly remuneration for guest lecturers doubled
17,"Govt approves PLI scheme for air-conditioners, LED lights"
17,Navratri mela: Slot-wise entry at Mata Mansa Devi shrine
18,Eating our lunch: Biden points to China in development push
18,Millionaires in New York set to face highest tax rates in US
19,EVMs shifted to counting centres in Erode
19,Sealed EVMs sent to college in Krishnagiri
19,Three-tier security in place at counting centres in Salem
20,"After HC rap, Panjab University announces senate poll schedule"
20,CM orders speeding up redesigning of major arterial roads
20,Sisodia launches DTU's 'Lab on Wheels' programme to teach govt school students
20,‘New curriculum till Class 8 in some east Delhi schools’
21,"N. Korea to not attend Tokyo Olympics, dashes Seoul's hopes of restarting talks"
21,Olympics: Tokyo organisers to cancel water polo test event - NHK
21,Russian Open and Indonesia Masters cancelled due to COVID-19
22,"Monday musings: No beds in Pune, fear stalks the streets"
22,"Summer wrath ahead: Donate water bottles, ORS, towels to the needy"
23,"'Played with lot of Englishmen, Australians, they just give up on mental health'"
23,"Ananya Panday shifts to online Yoga classes, flaunts washboard abs in new pic"
24,2 dead as oil tanker falls into gorge in Jammu and Kashmir's Reasi district
24,Leopard rescued from 40-ft-deep well in Pune district
24,"Workers inhale toxic gas while cleaning septic tank, two dead, one critical"
25,Bayern forward Serge Gnabry tests positive for coronavirus
25,Dortmund's Moukoko ruled out for rest of the season due to injury
25,"Madrid's Varane positive for virus, out of Liverpool game"
25,"PSG's Florenzi tests positive for COVID-19, to miss Bayern game"
26,"Arrival picks pace in Haryana, most wheat crop remains unsold due to high moisture content"
26,"Pakistan issues global tender for import of 50,000 tonnes of sugar"
27,BKU leader Rakesh Tikait threatens tractor agitation in Gujarat after Delhi
27,"Farmers hold protests outside FCI offices in Rohtak, Karnal"
27,"Haryana BJP MP Nayab Saini’s SUV blocked by farmers, windshield broken"
28,Doctors flag early lung infections as new Covid-19 concern
28,Early lung infections new Covid concern
28,Former Italian PM Berlusconi in hospital since Tuesday: Report
28,"Jarkiholi tests Covid positive, undergoing treatment, says doctor"
28,"Senior judge of Patna high court tests Covid positive, admitted to AIIMS-Patna"
29,Consider meet on CBI chief before May 2: SC
29,Goa Speaker to decide on disqualification of 10 MLAs who joined BJP on April 20
29,US court moves extradition hearing of 26/11 accused Tahawwur Rana to June 24
29,‘It’s pvt property’: SC not keen on staying INS Viraat dismantling
30,"Amid rising Covid cases, Raisina Dialogue to go fully digital"
30,Japan's central bank kicks off experiments on issuing digital currency
30,"Japan, Germany to hold first '2 + 2' dialogue talks in April: Reports"
31,IBPS clerk Office Assistant IX provisional allotment list 2021 released
31,Income tax department introduces offline utility for ITR 1 and 4
31,Indian Navy Tradesman admit card 2021 for Mumbai region released
31,Municipal Corporation of Chandigarh Recruitment: Apply for 172 posts from Apr 8
31,"NATA 2021 Admit Card released for April 10 test, here's how to download"
31,NATA 2021 admit cards to be released today at nata.in
31,"SSC JE answer keys 2021 released, direct link to check them and raise objections"
31,"UPSC Civil Services main interview schedule released, check here"
31,UPSC IES ISS Recruitment 2021: Registration begins at upsc.gov.in
32,"Hima, Dutee named in 4x100m relay team for World Athletics Relays"
32,"Mary Kom, Lovlina in Indian women's boxing squad for Asian Championships"
32,Nethra Kumanan becomes first Indian woman sailor to qualify for Olympics
33,"Zoo in Netherlands welcomes baby rhinoceros, shares adorable video"
33,"‘Same dad, two babies’: Giraffes born at zoo in Miami"
34,"Life imprisonment for gangster Sunder Bhati, 11 accomplices in Harendra Pradhan murder"
34,Man arrested for killing friend in Greater Noida
34,"Man bludgeons brother-in-law to death with grinding stone, arrested"
34,"Murder of electrician solved after 72 days, was killed by man who borrowed"
34,Youth Cong leader murder: Gangster Bishnoi aide nabbed from Kasol in HP
35,"Punjab sets up 3,700 mandis for procuring wheat amid Covid surge"
35,Wheat procurement: Uncertainty over mode of payment haunts farmers
36,390 new Covid cases take Ludhiana’s count past 36K
36,"55,469 new Covid-19 cases reported in Maharashtra"
36,"Amid Covid surge, eight more patients die in Punjab’s Mohali"
36,"Bangladesh records 7,213 new Covid-19 cases in highest single-day surge"
36,"Covid-19: Maharashtra records over 50k new cases, 297 fresh deaths"
36,"Haryana records 2,099 new Covid cases, 9 deaths"
36,"Ludhiana sees 5 more Covid deaths, toll reaches 1,182"
36,"Maharashtra daily cases surge past 50k again, death toll inches towards 57,000"
36,"Punjab logs 62 deaths, 2,924 Covid new cases"
36,"UP’s Covid numbers on the rise: 5,928 fresh cases, 30 deaths"
37,"45% turnout in four MCs, 59% vote in six nagar panchayats of Himachal"
37,Assam set for final phase of polls on Tuesday in 40 assembly seats
37,"Assam: Alliances, independents set to make 3rd phase the most closely contested"
37,Assam: Voting for final phase of polls begins; high voter turnout expected
37,"Himachal Pradesh: Civic body poll in Dharamshala, Mandi, Solan, Palampur today"
37,Stage set for final phase of polls; voters hold the key
38,Autorickshaws hit despite PMPML shutdown
38,Mall visitors shrug off Covid-appropriate behaviours
39,Pujara receives official kit from MS Dhoni as CSK welcome new recruits
39,Sanjay Suri on turning 50: I am loving this phase of my life
40,"Chhattisgarh surpasses Kerala, Karnataka in active Covid-19 cases | 10 points"
40,"Covid-19 hospitalizations, cases continue to rise in US for third straight week"
40,"Covid-19 pandemic in India has worsened, warnings were given: Govt"
40,"Delhi Covid cases cross 5,000-mark for first time since November 27"
40,France's Covid-19 hospitalisations at a near five-month high
40,"Surge continues, city records 5100 fresh Covid cases"
41,"Dozens missing, death toll climbs to 140 in Indonesia landslides"
41,"Indonesia landslides death toll rises to 119, dozens missing"
41,Indonesia readies hospital ships for cyclone survivors
41,"Indonesia: Death toll from floods, landslides rises to 55, at least 40 missing"
41,"More than 75 dead in Indonesia, East Timor floods, dozens missing"
42,Bangladesh imposes 7-day nationwide lockdown amidst spike in Covid-19 cases
42,CM says no Covid-19 lockdown in Goa as it will disturb economic activities
42,United Hospitality Association stages protest outside collector’s office
43,"A month later, 9 unanswered questions in the Antilia-Hiran-Vaze case"
43,Bangladesh ferry accident kills at least 26
43,Suez Canal traffic briefly stopped after oil tanker loses power
44,IPL 2021: Full list of records & milestones Rishabh Pant can reach this season
44,"IPL 2021: MI all-rounder Pollard finishes 7-day quarantine, ready to train"
44,KKR spinner Pawan Negi fine-tunes skills under 'watchful' eyes of Harbhajan
45,"Defence Corridor: UPEIDA inks 2 MoUs for investment in Jhansi, Aligarh"
45,Topps looks to go public in $1.3 billion deal with SPAC
46,Got lockdown blues? Take your taste buds on a trip with this Goan Fish Curry
46,The complicated calculus of traveling with kids during Covid
47,Aakash joins BYJU's universe in nearly $1 billion deal
47,"City gives De Bruyne new deal, reveals EPL’s highest payroll"
47,"Man City could break transfer record, says Guardiola"
48,Amazon boss Bezos backs Biden's proposal to hike US corporate tax rate
48,Bill Gates is reaching for the high-hanging fruit on climate
49,Dotlines CTO Eftekhar builds the first-ever DIY productivity & security solution
49,Essa Ismail Merchant: The master of the mobile phone trade
49,Know the views of Vasaf Mohammad Mansuri and Aleem khan about success
50,AFI joins hands in global effort to shape future of athletics
50,"To make India Vishwa Guru, collective efforts needed: RSS chief Mohan Bhagwat"
51,'Grim reaper' Berlin artist protests Brazil's virus stance
51,Olympic-bound Indian archers first to get fully vaccinated
52,Deepika Padukone or Alia Bhatt? Who wore the
52,"Kangana claims Akshay, others messaged her secretly praising Thalaivi trailer"
52,"Raveena shares throwback monochrome pic from '90s, fans rave about her beauty"
52,"Rumoured couple Disha Patani, Tiger Shroff lavish praise on each other's posts"
52,Sona Mohapatra says Rekha gave boost to 'sad' Indian Idol
53,"Increase Covid hospitals across state, says Yogi"
53,Increasing water supply on Delhi govt agenda
53,"Yediyuappa welcomes new age firms in Karnataka, assures support to Triton"
54,"Assembly Poll Highlights: Voting ends in phase 3, high voter turnout recorded"
54,Assembly elections: The biggest phase of them all...
54,"Impressive voter turnout in high-stakes assembly elections, highest in Assam"
54,"Polling in 4 states, Puducherry on Tuesday; heavy security arrangements in place"
54,"Single-phase Puducherry election on Tuesday, voting to be held on 30 seats"
54,Voting in 475 seats across 5 states: Biggest day of elections cycle today
55,"'Pariksha Pe Charcha' will be exciting interaction, says Prime Minister Modi"
55,Govt to launch campaign for Covid-19-appropriate behaviour as cases spike
55,Trans Arunachal Drive 2021 to bring state's tourism industry back to its foot
55,"World Health Day: Address inequities to build a healthier world, says WHO"
56,'We don't wear a mask': Details from secret dinner parties in Paris amid Covid
56,France: Ministers accused of dining at secret restaurants
57,"Maroon 5’s Adam Levine dons a dress, shares cute pic with family"
57,"Saba shares fresh pics of Taimur and Soha, shares what photo studio guy told her"
57,"Sushmita Sen shows 'reel and real' avatar, Rohman Shawl and Renee are all love"
58,Chinese travel rebounds during holiday while spending still lags
58,"Delhi records 3,548 new Covid-19 cases, over 3,000 containment zones created"
58,"Delhi's daily Covid-19 caseload records another spike, crosses 5,000-mark"
58,Domestic passenger traffic slips to 10-year low in pandemic-hit FY21
58,"Maharashtra's daily Covid-19 caseload dips by 10,000, Mumbai's tally down too"
58,"Mumbai records 9,879 new cases, 21 deaths"
59,Anti-extortion cell arrests two for
59,Mumbai crime branch arrests four with
60,Anil Deshmukh resigns as Maharashtra home minister after HC orders CBI probe
60,Antilia explosives scare- Mansukh Hiran death case: NIA recreates crime scene at Mumbai station
60,"Sachin Vaze to remain in NIA custody till April 9, orders court"
61,"16 inmates throw chilli powder in eyes of guards, flee from Rajasthan jail"
61,Sethi Dhaba owner’s gold chain snatched in Zirakpur
61,Summer has arrived: Thieves target inverter batteries
62,Plea to restart suburban trains
62,Services firms brace for trouble as cases surge
63,"City hospitals report acute shortage of blood with restrictions, vaccinations affecting donors"
63,"Maharashtra facing shortage of vaccine stock, many centres shut: Rajesh Tope"
63,Not enough Covid-19 vaccine doses in state: Maharashtra health minister Tope
64,
64,Noida authority to revise interest rate on land dues as per SC order
64,RBI clears
65,Clear bills: Rly. contractors
65,Our aim is to create transparent police force: New Maharashtra home min
66,Dia Mirza clarifies she didn’t marry Vaibhav Rekhi because she was pregnant
66,"Dia Mirza makes first public appearance after pregnancy announcement, watch"
66,"Dia Mirza, expecting first child with Vaibhav Rekhi, twirls in the sun. Watch"
66,Did Randhir Kapoor share and delete pics of Kareena-Saif's newborn son?
66,Kareena Kapoor Khan says she needs a tan. Here's how Bebo takes care of her skin
66,"Mom-to-be Geeta makes rare public appearance, spotted outside Mumbai clinic"
66,"Saif Ali Khan's son Ibrahim, Shweta Bachchan spotted outside Karan Johar's home"
67,Chicago mayor urges new police foot-chase policy after boy shot and killed
67,"Munger police firing: HC shifts Munger SP, 7 others, orders"
67,One arrested over demolition of Sai Baba statue
68,"Economic recovery still shallow, a month's lockdown can dent GDP by 2%: Report"
68,"Markets end lower as Covid-19 cases surge, financial stocks lead decline"
68,"Sensex opens 117 points higher, Nifty above 14,700; RBI monetary policy awaited"
68,"Sensex, Nifty down 2% in afternoon trade; IndusInd Bank, Bajaj Fin top laggards"
69,"Deepika’s new video is ‘out of this world’, fans can’t get over ‘perfect’ legs"
69,Disha Patani gives Gen Z approved twist to retro look in backless top and skirt
70,"In latest ordinance, Congress sees ‘terrible breach of trust’"
70,"Opposition, party members slam BSY over Covid orders"
70,"Protests against CAA, farm laws part of a conspiracy: PM on BJP’s foundation day"
70,‘Independent board members have failed’: Sebi chairman
71,Pakistan hockey officials keen on revival of bilateral ties against India
71,"Russia ready to supply military equipment to Pakistan, hold more drills: Lavrov"
72,"CSK captain Dhoni rolls back the years in nets, smacks sixes all over the park"
72,"Pant plays ‘box cricket’ with Ashwin, Rahane; Gill gets special mention: WATCH"
72,Prithvi Shaw reveals how Ricky Ponting's speeches remind him of Shahrukh Khan
73,Army recovers explosives near LoC in J&K’s Tanghdar
73,Bomb scare: Mock drill outside National Media Centre in Delhi
74,"Delhi, Mumbai, Bengaluru: These cities are under curbs as Covid-19 cases rise"
74,"Night curfews in force, schools closed as states increase curbs"
74,"Several states, UTs close schools or suspend classes due to rise in COVID19 case"
75,Lockdown in Madhya Pradesh's Chhindwara after Covid-19 cases spike
75,Lockdown in Raipur district from April 9 to 19 as Covid-19 cases surge
75,"Punjab bans political gatherings, extends night curfew till April 30"
75,Punjab government imposes night curfew from 9pm-5am across state till April 30
76,2 jawans killed in Chhattisgarh were to get married
76,"Brothers in arms in Maoist ambush: One looks for sibling, other mourns his loss"
76,"India grapples with rising Maoist violence, fuelled by pandemic"
76,"Myanmar protesters paint Yangon red, defying bloody army crackdown"
76,"Post-poll violence rocks Kerala, Muslim League worker stabbed to death in Kannur"
77,Amit Shah to hold four roadshows in West Bengal today
77,BJP's 41st Foundation Day: PM Modi to address party workers today
77,PM to chair meet for commemoration of Guru Tegh Bahadur’s 400th birth anniv
